objectDetection-pObstacle	robot_coordination2_with_moves-nMoves	<<robot1:robot2>>max=? (P[ !"crash" U<=nMoves "goal1"] + P[ !"crash" U<=nMoves "goal2"])
0.050	7.000	0.963892723102
0.050	8.000	1.7130599562889999
0.050	9.000	1.954231436775
0.050	10.000	1.994019470983

0.100	7.000	0.660177973962
0.100	8.000	1.468232185603
0.100	9.000	1.876735107041
0.100	10.000	1.978379855365

0.150	7.000	0.442482342626
0.150	8.000	1.211201518806
0.150	9.000	1.756874969318
0.150	10.000	1.94491977704

0.200	7.000	0.28946320981
0.200	8.000	0.9658416944229999
0.200	9.000	1.602124544314
0.200	10.000	1.8808067052239998
